GEO_ID,NAME,DP03_0001E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0045E
id,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services",Estimate!!INDUSTRY!!Public administration
0500000US12091,"Okaloosa County, Florida",147170,472,5451,4321,1141,10556,3688,1131,5546,10429,14681,11931,8642
0500000US12093,"Okeechobee County, Florida",31417,2155,1337,330,393,1705,917,42,547,1260,2845,1222,1076
0500000US12095,"Orange County, Florida",915290,2460,33843,27412,14816,72390,29493,14028,38600,79140,102920,105439,18765
0500000US12097,"Osceola County, Florida",210290,923,7817,4867,2187,18510,8196,1442,6571,13655,18964,30436,4831
0500000US12099,"Palm Beach County, Florida",1088135,7401,40974,26555,16671,77576,26005,11755,46369,83729,120434,66108,23131
0500000US12101,"Pasco County, Florida",378281,1317,13388,9847,4775,25809,9161,5280,14175,20603,43207,17601,8015
0500000US12103,"Pinellas County, Florida",775128,1372,23181,32397,12267,54651,15365,8866,39489,54665,90631,42712,16042
0500000US12105,"Polk County, Florida",479502,6798,18196,16227,7840,34010,13125,3511,14311,22886,50330,32983,10307
0500000US12107,"Putnam County, Florida",59418,1308,2050,3117,933,2478,1460,273,1124,1938,5367,1914,1806
0500000US12109,"St. Johns County, Florida",153419,621,5763,4799,3720,10950,4749,1426,11218,10063,17339,11586,3970
0500000US12111,"St. Lucie County, Florida",223619,1505,9832,4866,2655,18230,5752,1723,6472,10886,24467,10897,5932
0500000US12113,"Santa Rosa County, Florida",121202,997,5821,3791,1579,8606,3399,1248,4610,6915,13276,6450,5743
0500000US12115,"Sarasota County, Florida",328118,518,11947,7526,2823,20827,4575,2629,11940,19874,33941,19708,5321
0500000US12117,"Seminole County, Florida",339505,777,13753,11984,6137,26846,7184,7192,19858,31651,43806,19947,7135
0500000US12119,"Sumter County, Florida",86702,468,1717,1053,523,3129,1550,409,1358,1603,4669,2748,1171
0500000US12121,"Suwannee County, Florida",33913,1259,1425,1266,305,2085,1188,148,704,1016,2891,1241,1537
0500000US12123,"Taylor County, Florida",18577,204,347,1695,242,1150,88,60,449,495,1679,484,937
0500000US12125,"Union County, Florida",12883,46,255,170,95,722,220,21,138,431,1170,196,1103
0500000US12127,"Volusia County, Florida",413865,1815,14643,12922,4162,30598,9120,3790,13137,21754,45545,23442,9697
0500000US12129,"Wakulla County, Florida",24438,222,1261,459,399,1553,721,230,864,1375,2350,690,2599
0500000US12131,"Walton County, Florida",45313,346,3292,1033,435,3372,835,241,1735,2275,3596,3529,1574
0500000US12133,"Washington County, Florida",20145,146,775,606,172,1243,265,43,452,689,1802,930,854
0500000US13001,"Appling County, Georgia",13991,703,836,1187,257,795,586,83,207,372,1610,357,375
0500000US13003,"Atkinson County, Georgia",6140,356,194,702,87,396,290,76,118,134,502,81,147
0500000US13005,"Bacon County, Georgia",8595,303,424,651,140,509,258,50,114,173,856,167,259
0500000US13007,"Baker County, Georgia",2719,151,19,143,39,117,95,8,32,69,204,45,93
0500000US13009,"Baldwin County, Georgia",38169,242,983,1568,145,1744,1051,146,1009,1021,5271,2029,1187
0500000US13011,"Banks County, Georgia",14263,518,772,1731,148,953,414,159,293,490,1322,602,184
0500000US13013,"Barrow County, Georgia",51634,220,2496,4049,1803,4737,1681,633,1567,2849,6068,2360,1213
0500000US13015,"Bartow County, Georgia",75938,482,4216,7567,980,5176,3076,883,1977,3909,7527,3758,1832
0500000US13017,"Ben Hill County, Georgia",13394,182,325,1446,68,647,265,26,221,347,1305,356,362
