GEO_ID,NAME,B08015_001E,B08015_002E,B08015_003E
id,Geographic Area Name,"Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Male","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Female"
0500000US29087,"Holt County, Missouri",2000,1020,975
0500000US29089,"Howard County, Missouri",3695,1795,1895
0500000US29091,"Howell County, Missouri",13885,7125,6755
0500000US29093,"Iron County, Missouri",2905,1490,1410
0500000US29095,"Jackson County, Missouri",269810,136295,133515
0500000US29097,"Jasper County, Missouri",45965,24010,21960
0500000US29099,"Jefferson County, Missouri",94045,49610,44435
0500000US29101,"Johnson County, Missouri",21765,11865,9905
0500000US29103,"Knox County, Missouri",1405,660,750
0500000US29105,"Laclede County, Missouri",13055,6910,6140
0500000US29107,"Lafayette County, Missouri",13270,6910,6360
0500000US29109,"Lawrence County, Missouri",13645,7050,6595
0500000US29111,"Lewis County, Missouri",3520,1780,1740
0500000US29113,"Lincoln County, Missouri",20380,10505,9875
0500000US29115,"Linn County, Missouri",4225,2125,2100
0500000US29117,"Livingston County, Missouri",5670,2770,2895
0500000US29119,"McDonald County, Missouri",7875,4245,3630
0500000US29121,"Macon County, Missouri",5545,2615,2935
0500000US29123,"Madison County, Missouri",4125,2110,2020
0500000US29125,"Maries County, Missouri",3125,1670,1455
0500000US29127,"Marion County, Missouri",10860,5220,5635
0500000US29129,"Mercer County, Missouri",1235,605,625
0500000US29131,"Miller County, Missouri",8470,4155,4315
0500000US29133,"Mississippi County, Missouri",4590,2465,2130
0500000US29135,"Moniteau County, Missouri",5390,2710,2675
0500000US29137,"Monroe County, Missouri",3265,1705,1560
0500000US29139,"Montgomery County, Missouri",4465,2340,2125
0500000US29141,"Morgan County, Missouri",5380,2820,2560
0500000US29143,"New Madrid County, Missouri",6955,3350,3600
0500000US29145,"Newton County, Missouri",21790,11455,10335
0500000US29147,"Nodaway County, Missouri",9210,4765,4445
0500000US29149,"Oregon County, Missouri",2915,1555,1355
0500000US29151,"Osage County, Missouri",5395,3025,2370
0500000US29153,"Ozark County, Missouri",2600,1380,1215
0500000US29155,"Pemiscot County, Missouri",5750,2985,2760
0500000US29157,"Perry County, Missouri",7780,4115,3665
0500000US29159,"Pettis County, Missouri",15715,8330,7390
0500000US29161,"Phelps County, Missouri",15735,8300,7435
0500000US29163,"Pike County, Missouri",6105,3150,2955
0500000US29165,"Platte County, Missouri",41410,21790,19620
0500000US29167,"Polk County, Missouri",10385,5465,4920
0500000US29169,"Pulaski County, Missouri",16175,9680,6490
0500000US29171,"Putnam County, Missouri",1815,970,845
0500000US29173,"Ralls County, Missouri",4080,2080,2000
0500000US29175,"Randolph County, Missouri",8490,4350,4135
0500000US29177,"Ray County, Missouri",8710,4730,3980
0500000US29179,"Reynolds County, Missouri",1795,935,865
0500000US29181,"Ripley County, Missouri",4310,2145,2160
0500000US29183,"St. Charles County, Missouri",167280,86980,80300
0500000US29185,"St. Clair County, Missouri",3135,1545,1590
0500000US29186,"Ste. Genevieve County, Missouri",7215,3885,3330
0500000US29187,"St. Francois County, Missouri",21740,10910,10835
0500000US29189,"St. Louis County, Missouri",414555,206450,208110
0500000US29195,"Saline County, Missouri",8520,4330,4190
0500000US29197,"Schuyler County, Missouri",1425,710,715
0500000US29199,"Scotland County, Missouri",1630,880,750
