year,state,state_po,county_name,county_fips,office,candidate,party,demVotes,repVotes,totalvotes
2012,ARKANSAS,AR,VAN BUREN,5141,PRESIDENT,BARACK OBAMA,DEMOCRAT,1832,4598,6430
2012,ARKANSAS,AR,WASHINGTON,5143,PRESIDENT,BARACK OBAMA,DEMOCRAT,28236,42224,70460
2012,ARKANSAS,AR,WHITE,5145,PRESIDENT,BARACK OBAMA,DEMOCRAT,5765,20749,26514
2012,ARKANSAS,AR,WHITE,5145,PRESIDENT,MITT ROMNEY,REPUBLICAN,20011,6503,26514
2012,ARKANSAS,AR,WOODRUFF,5147,PRESIDENT,MITT ROMNEY,REPUBLICAN,1227,1458,2685
2012,ARKANSAS,AR,YELL,5149,PRESIDENT,MITT ROMNEY,REPUBLICAN,4042,1932,5974
2012,CALIFORNIA,CA,ALAMEDA,6001,PRESIDENT,MITT ROMNEY,REPUBLICAN,108182,487460,595642
2012,CALIFORNIA,CA,ALPINE,6003,PRESIDENT,MITT ROMNEY,REPUBLICAN,236,417,653
2012,CALIFORNIA,CA,AMADOR,6005,PRESIDENT,BARACK OBAMA,DEMOCRAT,6830,10819,17649
2012,CALIFORNIA,CA,BUTTE,6007,PRESIDENT,BARACK OBAMA,DEMOCRAT,42669,48083,90752
2012,CALIFORNIA,CA,CALAVERAS,6009,PRESIDENT,BARACK OBAMA,DEMOCRAT,8670,13116,21786
2012,CALIFORNIA,CA,COLUSA,6011,PRESIDENT,BARACK OBAMA,DEMOCRAT,2314,3720,6034
2012,CALIFORNIA,CA,CONTRA COSTA,6013,PRESIDENT,BARACK OBAMA,DEMOCRAT,290824,147402,438226
2012,CALIFORNIA,CA,CONTRA COSTA,6013,PRESIDENT,MITT ROMNEY,REPUBLICAN,136517,301709,438226
2012,CALIFORNIA,CA,DEL NORTE,6015,PRESIDENT,MITT ROMNEY,REPUBLICAN,4614,4156,8770
2012,CALIFORNIA,CA,EL DORADO,6017,PRESIDENT,MITT ROMNEY,REPUBLICAN,50973,37801,88774
2012,CALIFORNIA,CA,FRESNO,6019,PRESIDENT,MITT ROMNEY,REPUBLICAN,124490,134337,258827
2012,CALIFORNIA,CA,GLENN,6021,PRESIDENT,MITT ROMNEY,REPUBLICAN,5632,3579,9211
2012,CALIFORNIA,CA,HUMBOLDT,6023,PRESIDENT,BARACK OBAMA,DEMOCRAT,34457,23013,57470
2012,CALIFORNIA,CA,IMPERIAL,6025,PRESIDENT,BARACK OBAMA,DEMOCRAT,25136,13429,38565
2012,CALIFORNIA,CA,INYO,6027,PRESIDENT,BARACK OBAMA,DEMOCRAT,3422,4614,8036
2012,CALIFORNIA,CA,KERN,6029,PRESIDENT,BARACK OBAMA,DEMOCRAT,89495,131977,221472
2012,CALIFORNIA,CA,KINGS,6031,PRESIDENT,BARACK OBAMA,DEMOCRAT,12979,18439,31418
2012,CALIFORNIA,CA,KINGS,6031,PRESIDENT,MITT ROMNEY,REPUBLICAN,17671,13747,31418
2012,CALIFORNIA,CA,LAKE,6033,PRESIDENT,MITT ROMNEY,REPUBLICAN,9200,14191,23391
2012,CALIFORNIA,CA,LASSEN,6035,PRESIDENT,MITT ROMNEY,REPUBLICAN,7296,3387,10683
2012,CALIFORNIA,CA,LOS ANGELES,6037,PRESIDENT,MITT ROMNEY,REPUBLICAN,885333,2295734,3181067
2012,CALIFORNIA,CA,MADERA,6039,PRESIDENT,MITT ROMNEY,REPUBLICAN,22852,17014,39866
2012,CALIFORNIA,CA,MARIN,6041,PRESIDENT,BARACK OBAMA,DEMOCRAT,99896,34620,134516
2012,CALIFORNIA,CA,MARIPOSA,6043,PRESIDENT,BARACK OBAMA,DEMOCRAT,3498,5502,9000
2012,CALIFORNIA,CA,MENDOCINO,6045,PRESIDENT,BARACK OBAMA,DEMOCRAT,23193,11824,35017
2012,CALIFORNIA,CA,MERCED,6047,PRESIDENT,BARACK OBAMA,DEMOCRAT,33005,29052,62057
2012,CALIFORNIA,CA,MODOC,6049,PRESIDENT,BARACK OBAMA,DEMOCRAT,1111,2875,3986
2012,CALIFORNIA,CA,MODOC,6049,PRESIDENT,MITT ROMNEY,REPUBLICAN,2777,1209,3986
2012,CALIFORNIA,CA,MONO,6051,PRESIDENT,MITT ROMNEY,REPUBLICAN,2285,2896,5181
2012,CALIFORNIA,CA,MONTEREY,6053,PRESIDENT,MITT ROMNEY,REPUBLICAN,37390,86128,123518
2012,CALIFORNIA,CA,NAPA,6055,PRESIDENT,MITT ROMNEY,REPUBLICAN,19526,37442,56968
2012,CALIFORNIA,CA,NEVADA,6057,PRESIDENT,MITT ROMNEY,REPUBLICAN,24986,26690,51676
2012,CALIFORNIA,CA,ORANGE,6059,PRESIDENT,BARACK OBAMA,DEMOCRAT,512440,610224,1122664
2012,CALIFORNIA,CA,PLACER,6061,PRESIDENT,BARACK OBAMA,DEMOCRAT,66818,104504,171322
2012,CALIFORNIA,CA,PLUMAS,6063,PRESIDENT,BARACK OBAMA,DEMOCRAT,4026,6021,10047
2012,CALIFORNIA,CA,RIVERSIDE,6065,PRESIDENT,BARACK OBAMA,DEMOCRAT,329063,332844,661907
2012,CALIFORNIA,CA,SACRAMENTO,6067,PRESIDENT,BARACK OBAMA,DEMOCRAT,300503,216306,516809
2012,CALIFORNIA,CA,SACRAMENTO,6067,PRESIDENT,MITT ROMNEY,REPUBLICAN,202514,314295,516809
2012,CALIFORNIA,CA,SAN BENITO,6069,PRESIDENT,MITT ROMNEY,REPUBLICAN,7343,11701,19044
2012,CALIFORNIA,CA,SAN BERNARDINO,6071,PRESIDENT,MITT ROMNEY,REPUBLICAN,262358,319159,581517
2012,CALIFORNIA,CA,SAN DIEGO,6073,PRESIDENT,MITT ROMNEY,REPUBLICAN,536726,655556,1192282
2012,CALIFORNIA,CA,SAN FRANCISCO,6075,PRESIDENT,MITT ROMNEY,REPUBLICAN,47076,314133,361209
2012,CALIFORNIA,CA,SAN JOAQUIN,6077,PRESIDENT,BARACK OBAMA,DEMOCRAT,114121,90576,204697
2012,CALIFORNIA,CA,SAN LUIS OBISPO,6079,PRESIDENT,BARACK OBAMA,DEMOCRAT,61258,64380,125638
2012,CALIFORNIA,CA,SAN MATEO,6081,PRESIDENT,BARACK OBAMA,DEMOCRAT,206085,79635,285720
2012,CALIFORNIA,CA,SANTA BARBARA,6083,PRESIDENT,BARACK OBAMA,DEMOCRAT,94129,69191,163320
