GEO_ID,NAME,DP03_0026E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E,DP03_0046E
id,Geographic Area Name,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over
0500000US12109,"St. Johns County, Florida",94695,625,4531,4757,2785,11782,4467,1866,12859,11795,19402,12401,3475,3950,94695
0500000US12111,"St. Lucie County, Florida",110917,1761,7938,4186,2098,18743,3985,1861,8906,12582,26566,9640,6097,6554,110917
0500000US12113,"Santa Rosa County, Florida",68791,1292,5758,3331,1482,10600,4181,644,3731,7060,15993,5738,2369,6612,68791
0500000US12115,"Sarasota County, Florida",152311,874,10490,8796,3288,21084,4295,2086,11528,20953,35695,18172,8902,6148,152311
0500000US12117,"Seminole County, Florida",203853,661,12575,9323,4974,26940,7774,6420,19992,32383,41699,20289,11437,9386,203853
0500000US12119,"Sumter County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,22750
0500000US12127,"Volusia County, Florida",190262,1241,11465,12746,3172,31557,7783,3040,12846,19973,42749,24751,9539,9400,190262
0500000US13013,"Barrow County, Georgia",30944,10,3462,4313,1378,5316,1590,415,1671,2428,5440,1971,1812,1138,30944
0500000US13015,"Bartow County, Georgia",42872,513,3821,8116,676,5367,2582,1082,1575,5352,8034,2683,1667,1404,42872
0500000US13021,"Bibb County, Georgia",62631,422,2848,4758,844,6631,2045,1832,4574,6807,16840,6185,4850,3995,62631
0500000US13031,"Bulloch County, Georgia",29943,1023,2410,2919,663,4504,1208,233,1427,2115,6883,3785,1813,960,29943
0500000US13045,"Carroll County, Georgia",47945,465,3162,8088,1633,6224,3595,1162,2422,3201,10123,3898,2527,1445,47945
0500000US13047,"Catoosa County, Georgia",27910,0,2360,3919,854,3073,1387,225,2539,2204,4908,3730,1489,1222,27910
0500000US13051,"Chatham County, Georgia",122556,346,6250,9467,2945,14624,7861,1753,8996,12352,26169,19483,4662,7648,122556
0500000US13057,"Cherokee County, Georgia",106147,861,7329,12113,3091,13693,4513,3086,8172,15543,20633,9616,4179,3318,106147
0500000US13059,"Clarke County, Georgia",53699,644,1387,4711,732,7236,764,1082,2385,5231,18187,7964,1934,1442,53699
0500000US13063,"Clayton County, Georgia",108093,265,7416,8707,4091,14052,14349,2005,5907,8650,18812,12566,5742,5531,108093
0500000US13067,"Cobb County, Georgia",357723,683,25659,31320,12106,44159,17214,13221,29713,57800,62039,35542,17193,11074,357723
0500000US13073,"Columbia County, Georgia",58021,11,3927,5841,1048,6364,2839,1557,2466,7741,14869,4566,2038,4754,58021
