GEO_ID,NAME,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0004E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0023E,DP05_0024E,DP05_0059E,DP05_0060E,DP05_0061E,DP05_0062E,DP05_0063E,DP05_0064E,DP05_0065E,DP05_0081E
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Male,Estimate!!SEX AND AGE!!Female,Estimate!!SEX AND AGE!!Under 5 years,Estimate!!SEX AND AGE!!5 to 9 years,Estimate!!SEX AND AGE!!10 to 14 years,Estimate!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Estimate!!SEX AND AGE!!25 to 34 years,Estimate!!SEX AND AGE!!35 to 44 years,Estimate!!SEX AND AGE!!45 to 54 years,Estimate!!SEX AND AGE!!55 to 59 years,Estimate!!SEX AND AGE!!60 to 64 years,Estimate!!SEX AND AGE!!65 to 74 years,Estimate!!SEX AND AGE!!75 to 84 years,Estimate!!SEX AND AGE!!85 years and over,Estimate!!SEX AND AGE!!Male,Estimate!!SEX AND AGE!!Female,Estimate!!RACE!!White,Estimate!!RACE!!Black or African American,Estimate!!RACE!!American Indian and Alaska Native,Estimate!!RACE!!Asian,Estimate!!RACE!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!Total housing units
0500000US51029,"Buckingham County, Virginia",17071,9527,7544,921,759,994,773,1072,2262,2778,2679,1107,1272,1426,639,389,7747,6036,10681,6308,84,132,0,58,17071,7220
0500000US51031,"Campbell County, Virginia",54797,26569,28228,2909,2691,3948,3796,3900,5711,7315,8407,3343,3942,5069,2602,1164,20636,22236,45986,8315,389,659,40,208,54797,24761
0500000US51033,"Caroline County, Virginia",28510,14145,14365,1857,2181,1653,1758,1667,3591,4031,4330,1972,1728,2203,1070,469,10665,11010,19568,8798,474,360,44,150,28510,11734
0500000US51035,"Carroll County, Virginia",29989,15019,14970,1477,1506,2028,1680,1361,3003,3955,4594,2272,2252,3320,1778,763,11802,12107,29599,396,1,64,0,304,29989,16539
0500000US51036,"Charles City County, Virginia",7226,3576,3650,300,267,505,419,326,679,903,1336,532,703,767,380,109,2898,3023,3129,3646,602,15,7,3,7226,3243
0500000US51037,"Charlotte County, Virginia",12546,6162,6384,753,889,712,865,636,1187,1468,1953,919,820,1277,729,338,4638,4982,8539,3921,87,19,2,108,12546,6264
0500000US51041,"Chesterfield County, Virginia",316895,152721,164174,19817,22178,24460,24957,18016,38014,46123,49915,22415,17498,19970,9749,3783,110777,124240,228934,74180,3184,12689,345,5209,316895,122413
0500000US51043,"Clarke County, Virginia",14143,7009,7134,759,833,987,845,629,1263,1863,2527,1030,1083,1270,848,206,5432,5488,13024,903,91,185,0,159,14143,6226
0500000US51045,"Craig County, Virginia",5186,2488,2698,287,368,295,360,160,487,635,823,457,473,448,311,82,1848,2181,5163,38,41,27,0,0,5186,2730
0500000US51047,"Culpeper County, Virginia",46894,23600,23294,3221,3674,3161,3072,2478,5929,6772,7332,2941,2677,3328,1651,658,17681,17233,37300,8126,393,793,370,1574,46894,17762
0500000US51049,"Cumberland County, Virginia",9951,4959,4992,604,468,769,619,830,821,1411,1394,656,712,978,510,179,3689,4002,6509,3485,38,0,53,47,9951,4621
0500000US51051,"Dickenson County, Virginia",15877,8019,7858,857,797,1051,915,844,1874,2003,2483,1173,1173,1596,882,229,6370,6250,15756,76,78,53,0,0,15877,7590
0500000US51053,"Dinwiddie County, Virginia",27926,13692,14234,1557,1709,1777,2118,1757,2781,3968,4704,1895,1721,2405,1179,355,10483,11199,18263,9389,117,202,0,222,27926,11396
0500000US51057,"Essex County, Virginia",11130,5324,5806,613,650,648,773,842,814,1492,1672,751,898,1119,639,219,4153,4590,6670,4460,117,26,24,23,11130,5763
0500000US51059,"Fairfax County, Virginia",1083770,535616,548154,73035,71669,72382,68758,60575,158110,165278,173709,70919,61129,64154,31627,12425,401429,420921,729177,112082,11874,213804,2758,62362,1083770,407349
0500000US51061,"Fauquier County, Virginia",65495,32357,33138,3865,4979,4569,4572,3192,6450,9207,11552,4565,4072,5071,2645,756,23911,25163,58619,6435,183,1367,20,486,65495,25672
0500000US51063,"Floyd County, Virginia",15268,7437,7831,879,1169,709,906,650,1631,2030,2237,985,1347,1592,793,340,5776,6106,14723,306,233,194,0,0,15268,7783
0500000US51065,"Fluvanna County, Virginia",25749,11633,14116,1519,1924,1535,1191,1210,3374,3560,4058,1704,1642,2427,1165,440,8744,11079,21304,4390,157,344,21,181,25749,10406
0500000US51067,"Franklin County, Virginia",56012,27673,28339,2955,2888,3603,3678,2935,5626,6859,8804,4147,4450,6088,3078,901,21840,22661,50880,5013,244,373,125,86,56012,29171
0500000US51069,"Frederick County, Virginia",78397,39093,39304,4852,5729,5492,5291,4136,9384,11786,12422,4463,4848,5915,3080,999,28926,29919,72650,3975,516,1258,163,1354,78397,31341
0500000US51071,"Giles County, Virginia",17149,8424,8725,953,942,1111,1039,920,1718,2350,2498,1134,1386,1757,1007,334,6538,6929,16823,382,129,51,0,55,17149,8301
0500000US51073,"Gloucester County, Virginia",36821,18083,18738,1850,1894,2660,2621,1933,4094,4726,6407,2729,2396,3327,1633,551,13993,14755,32814,3556,445,567,42,199,36821,15900
0500000US51075,"Goochland County, Virginia",21496,10687,10809,941,1254,1341,1215,746,2072,3111,3907,1765,1805,2082,951,306,8376,8783,16876,4603,63,119,9,111,21496,8600
0500000US51077,"Grayson County, Virginia",15535,7565,7970,724,856,751,921,689,1478,1957,2368,1209,1288,1811,1016,467,6105,6489,15033,371,22,7,93,101,15535,9183
0500000US51079,"Greene County, Virginia",18453,9222,9231,1302,1286,1315,1142,891,2345,2537,2880,1067,1202,1546,729,211,6817,7055,16745,1418,93,295,68,183,18453,7585
0500000US51081,"Greensville County, Virginia",12127,7710,4417,509,518,572,669,899,1499,2077,2284,779,762,924,497,138,6599,3554,4661,7330,80,52,0,121,12127,4098
0500000US51083,"Halifax County, Virginia",36140,17266,18874,2042,1748,2700,2276,1772,3461,4237,5311,2881,2648,3875,2249,940,13249,14950,21996,13631,101,163,6,434,36140,18006
0500000US51085,"Hanover County, Virginia",99964,49050,50914,5337,6321,8166,7717,5425,8989,14244,17489,7069,6008,7451,4216,1532,36192,39042,88050,9947,731,1775,43,1116,99964,38441
0500000US51087,"Henrico County, Virginia",307576,144671,162905,20301,20134,20847,19685,18384,44166,43925,45976,19525,16344,19406,12665,6218,106823,126691,190572,93987,3096,22306,616,4692,307576,132613
0500000US51089,"Henry County, Virginia",53971,25895,28076,2916,2862,3327,3237,2729,5425,6874,8438,3807,3774,5975,3270,1337,20299,22598,41278,12300,371,344,0,653,53971,26282
0500000US51091,"Highland County, Virginia",2317,1090,1227,41,79,119,94,57,96,253,353,251,304,440,188,42,1001,1020,2312,0,17,0,0,5,2317,1866
0500000US51093,"Isle of Wight County, Virginia",35240,17201,18039,1812,2458,2115,2310,1740,3286,4601,6534,2618,2579,3101,1509,577,13134,14156,25815,9000,318,445,0,257,35240,14709
0500000US51095,"James City County, Virginia",66939,32396,34543,3400,3861,4353,4160,3184,6723,7867,9918,4676,4958,7733,4667,1439,25034,27583,55220,9580,466,2008,117,743,66939,29881
0500000US51097,"King and Queen County, Virginia",6968,3581,3387,402,263,471,327,454,674,925,1098,564,544,738,409,99,2740,2828,4772,2164,19,21,0,17,6968,3415
0500000US51099,"King George County, Virginia",23739,11879,11860,1808,1747,1836,1757,1268,2808,3619,3920,1110,1451,1532,697,186,8597,8632,18745,4706,232,427,47,167,23739,9465
0500000US51101,"King William County, Virginia",15861,7688,8173,966,1092,1252,994,805,1968,2234,2518,1057,974,1220,499,282,5747,6199,12499,3172,409,23,0,77,15861,6507
0500000US51103,"Lancaster County, Virginia",11371,5383,5988,445,395,622,541,404,780,976,1633,756,1251,1829,1202,537,4375,5190,8025,3236,50,123,0,14,11371,7418
0500000US51105,"Lee County, Virginia",25528,13410,12118,1274,1519,1339,1545,1431,3146,3693,3923,1935,1587,2468,1258,410,10726,9699,24205,992,238,127,8,173,25528,11732
0500000US51107,"Loudoun County, Virginia",314980,155549,159431,27541,28712,25459,19720,13167,43966,59373,48841,15619,11546,12691,6224,2121,107215,112324,230572,27629,2373,52269,800,14166,314980,109928
0500000US51109,"Louisa County, Virginia",33083,16284,16799,1960,2157,1902,1918,1631,3818,4312,5551,2492,2466,3079,1333,464,12605,13185,26534,6381,406,239,0,234,33083,16293
0500000US51111,"Lunenburg County, Virginia",12838,6834,6004,673,690,692,782,757,1366,1669,1980,1048,938,1263,734,246,5540,4811,8109,4621,96,40,15,192,12838,5939
0500000US51113,"Madison County, Virginia",13270,6531,6739,726,872,857,794,610,1287,1575,2225,917,925,1453,723,306,4987,5322,11574,1676,20,139,13,111,13270,5943
0500000US51115,"Mathews County, Virginia",8965,4239,4726,251,488,438,548,466,601,940,1411,552,927,1361,602,380,3469,3836,7855,961,50,76,0,146,8965,5675
0500000US51117,"Mecklenburg County, Virginia",32548,15990,16558,1578,1901,1750,1994,1504,3324,3734,5018,2630,2295,3794,2181,845,12780,13396,19698,12232,95,280,14,613,32548,18606
0500000US51119,"Middlesex County, Virginia",10855,5412,5443,362,585,482,480,521,862,1043,1789,941,955,1754,855,226,4506,4601,8666,2158,37,0,0,13,10855,7146
0500000US51121,"Montgomery County, Virginia",94179,49031,45148,4211,4167,4153,12372,19628,12106,9832,9837,4572,4033,5054,2844,1370,41130,37990,84015,4319,498,6050,92,919,94179,38396
0500000US51125,"Nelson County, Virginia",15000,7099,7901,549,793,1026,859,684,1438,1664,2272,1244,1659,1661,936,215,5825,6279,12562,2482,106,20,0,8,15000,9934
0500000US51127,"New Kent County, Virginia",18460,9428,9032,960,1095,1248,1146,845,1978,2780,3259,1405,1475,1553,548,168,7259,7122,15142,2982,289,118,0,94,18460,7318
0500000US51131,"Northampton County, Virginia",12408,6053,6355,695,911,568,654,493,1197,1293,1857,1071,877,1446,874,472,4625,5308,7527,4762,0,65,0,110,12408,7307
0500000US51133,"Northumberland County, Virginia",12389,6070,6319,523,497,546,747,451,922,918,1836,805,1392,2192,1269,291,4955,5399,8788,3601,9,0,0,0,12389,9011
