GEO_ID,NAME,B08130_001E,B08130_002E,B08130_003E,B08130_004E,B08130_005E,B08130_006E,B08130_007E,B08130_008E,B08130_009E,B08130_010E,B08130_011E,B08130_012E,B08130_013E,B08130_014E,B08130_015E,B08130_016E,B08130_017E,B08130_018E,B08130_019E,B08130_020E,B08130_021E,B08130_022E,B08130_023E,B08130_024E,B08130_025E,B08130_026E,B08130_027E,B08130_028E,B08130_029E,B08130_030E,B08130_031E
id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!Worked in state of residence,Estimate!!Total!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Worked outside state of residence,"Estimate!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Car, truck, or van - drove alone!!Worked outside state of residence","Estimate!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Car, truck, or van - carpooled!!Worked outside state of residence",Estimate!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Public transportation (excluding taxicab)!!Worked outside state of residence,Estimate!!Total!!Walked,Estimate!!Total!!Walked!!Worked in state of residence,Estimate!!Total!!Walked!!Worked in state of residence!!Worked in county of residence,Estimate!!Total!!Walked!!Worked in state of residence!!Worked outside county of residence,Estimate!!Total!!Walked!!Worked outside state of residence,"Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked in county of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked in state of residence!!Worked outside county of residence","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Worked outside state of residence",Estimate!!Total!!Worked at home
0500000US13061,"Clay County, Georgia",820,551,278,273,269,520,329,129,200,191,227,149,76,73,78,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,67
0500000US13063,"Clayton County, Georgia",113377,111899,40710,71189,1478,88609,87695,28869,58826,914,14022,13755,5228,8527,267,2913,2890,220,2670,23,1598,1540,1385,155,58,2560,2344,1333,1011,216,3675
0500000US13065,"Clinch County, Georgia",2185,2160,1775,385,25,1911,1902,1567,335,9,131,124,74,50,7,0,0,0,0,0,19,19,19,0,0,79,70,70,0,9,45
0500000US13067,"Cobb County, Georgia",368545,363059,211036,152023,5486,293491,289812,155543,134269,3679,31997,31484,17819,13665,513,4283,4173,2041,2132,110,4276,4152,3827,325,124,6598,5538,3906,1632,1060,27900
0500000US13069,"Coffee County, Georgia",15625,15554,13214,2340,71,13082,13027,11049,1978,55,1642,1636,1313,323,6,20,20,20,0,0,115,115,115,0,0,325,315,276,39,10,441
0500000US13071,"Colquitt County, Georgia",18083,17851,13967,3884,232,12738,12618,9450,3168,120,3554,3511,2987,524,43,339,331,236,95,8,499,499,499,0,0,303,242,145,97,61,650
0500000US13073,"Columbia County, Georgia",63008,56977,19373,37604,6031,55090,49854,15964,33890,5236,5508,4808,1477,3331,700,41,18,3,15,23,330,288,171,117,42,499,469,218,251,30,1540
0500000US13075,"Cook County, Georgia",6969,6957,3762,3195,12,5845,5833,3051,2782,12,626,626,265,361,0,0,0,0,0,0,89,89,66,23,0,50,50,21,29,0,359
0500000US13077,"Coweta County, Georgia",63327,62206,29026,33180,1121,51931,51195,21996,29199,736,6872,6813,3312,3501,59,365,365,139,226,0,202,186,148,38,16,1024,714,498,216,310,2933
0500000US13079,"Crawford County, Georgia",4782,4775,1141,3634,7,4181,4174,923,3251,7,433,433,77,356,0,25,25,25,0,0,40,40,40,0,0,48,48,21,27,0,55
0500000US13081,"Crisp County, Georgia",8385,8245,6438,1807,140,6947,6813,5294,1519,134,927,927,639,288,0,2,2,2,0,0,55,55,55,0,0,180,174,174,0,6,274
0500000US13083,"Dade County, Georgia",7423,3901,3247,654,3522,5655,2528,1940,588,3127,803,435,396,39,368,17,17,5,12,0,481,472,457,15,9,44,26,26,0,18,423
0500000US13085,"Dawson County, Georgia",10239,10091,3579,6512,148,7994,7894,2351,5543,100,1380,1349,433,916,31,12,12,0,12,0,9,9,9,0,0,105,88,47,41,17,739
0500000US13087,"Decatur County, Georgia",9817,8464,6998,1466,1353,8015,6864,5563,1301,1151,1004,841,678,163,163,55,55,55,0,0,69,42,42,0,27,456,444,442,2,12,218
0500000US13089,"DeKalb County, Georgia",345582,341067,154218,186849,4515,249802,247592,99629,147963,2210,37204,36337,15590,20747,867,27430,26917,11552,15365,513,5993,5823,5067,756,170,5326,4571,2553,2018,755,19827
0500000US13091,"Dodge County, Georgia",7737,7717,4343,3374,20,6539,6539,3508,3031,0,542,542,298,244,0,28,28,5,23,0,74,74,74,0,0,453,433,357,76,20,101
0500000US13093,"Dooly County, Georgia",4970,4961,2682,2279,9,4062,4053,2098,1955,9,516,516,282,234,0,3,3,3,0,0,55,55,55,0,0,189,189,99,90,0,145
0500000US13095,"Dougherty County, Georgia",33985,33825,29097,4728,160,26440,26297,22507,3790,143,4189,4189,3388,801,0,640,640,599,41,0,972,972,952,20,0,266,249,173,76,17,1478
0500000US13097,"Douglas County, Georgia",63154,62251,24001,38250,903,50951,50344,17255,33089,607,7252,7097,2954,4143,155,430,385,5,380,45,566,516,363,153,50,888,842,357,485,46,3067
0500000US13099,"Early County, Georgia",3742,3299,2225,1074,443,3348,2930,1948,982,418,225,207,120,87,18,6,6,6,0,0,30,30,30,0,0,92,85,80,5,7,41
0500000US13101,"Echols County, Georgia",1721,1591,190,1401,130,1248,1174,124,1050,74,374,331,10,321,43,6,6,6,0,0,22,14,14,0,8,35,30,0,30,5,36
