GEO_ID,NAME,DP03_0001E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
id,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration
0500000US20187,"Stanton County, Kansas",1672,349,30,14,49,113,62,32,38,4,148,55,61,35
0500000US46007,"Bennett County, South Dakota",2436,224,136,47,10,83,16,11,96,9,292,25,66,148
0500000US46009,"Bon Homme County, South Dakota",5878,627,114,284,44,299,105,36,172,105,737,167,145,247
0500000US46011,"Brookings County, South Dakota",25796,1372,765,4071,194,1697,436,178,910,1060,4108,1571,668,371
0500000US46013,"Brown County, South Dakota",28698,1020,1124,2210,689,2920,705,333,1342,1266,4610,1803,864,992
0500000US46015,"Brule County, South Dakota",3823,440,175,86,79,250,84,43,105,92,841,242,96,132
0500000US46017,"Buffalo County, South Dakota",1290,25,25,8,0,61,0,0,19,21,170,134,44,77
0500000US46019,"Butte County, South Dakota",7613,715,403,296,36,817,244,38,128,290,782,470,201,277
0500000US46021,"Campbell County, South Dakota",1167,161,52,43,65,66,27,14,20,35,160,43,38,32
0500000US46023,"Charles Mix County, South Dakota",6696,789,201,105,67,518,131,31,183,136,985,331,170,313
0500000US46025,"Clark County, South Dakota",2941,486,151,119,35,165,116,25,61,40,312,74,55,69
0500000US46027,"Clay County, South Dakota",11855,337,475,413,82,986,214,128,310,407,2717,759,211,173
0500000US46029,"Codington County, South Dakota",21114,942,604,2846,390,2232,443,272,1300,554,2657,1246,604,496
0500000US46031,"Corson County, South Dakota",2820,313,88,9,6,77,35,39,22,41,338,158,48,131
0500000US46033,"Custer County, South Dakota",6752,572,315,152,22,174,260,54,232,186,933,406,159,327
0500000US46035,"Davison County, South Dakota",15319,635,719,1235,280,1608,250,133,378,575,2471,1376,443,288
